names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CDH6,182.95096,6.2186384,0.0,0.0,0.6079967423551996
LRP2,155.85289,3.27887,0.0,0.0,0.635027437901146
NEAT1,140.59508,1.3820457,0.0,0.0,0.9020767485602373
RNF213,134.07849,2.3579013,0.0,0.0,0.6601384499040158
SLC17A1,133.99812,3.2179291,0.0,0.0,0.5360764770898373
NRP1,133.41313,2.8656142,0.0,0.0,0.5617692113784879
DLGAP1,133.13654,4.284568,0.0,0.0,0.47350254988268603
KCNJ15,131.67516,3.1243937,0.0,0.0,0.5314420895464506
PLXDC2,128.41962,2.2099888,0.0,0.0,0.6559500494463943
NLGN1,127.691635,2.4774714,0.0,0.0,0.5892265032673402
PTPRD,125.6563,2.901939,0.0,0.0,0.519904597545132
ACSM2A,123.09106,2.5603123,0.0,0.0,0.5797250392662543
LINC01781,116.74192,3.4832869,0.0,0.0,0.4374745496499971
NRG3,116.199936,3.889664,0.0,0.0,0.4185879661049815
NHS,114.124756,2.0173192,0.0,0.0,0.6063097477264354
DCDC2,113.374855,1.9401417,0.0,0.0,0.6268639351573558
CUBN,113.340775,2.529748,0.0,0.0,0.5103837428011867
SEMA5A,113.10967,3.2057033,0.0,0.0,0.43730003296426284
SNRNP70,109.29271,2.1432302,0.0,0.0,0.5299296116034206
LRMDA,108.9989,1.4495807,0.0,0.0,0.740590642027496
NOX4,106.911095,2.9867961,0.0,0.0,0.42362955924841483
TRABD2B,106.567444,2.5163455,0.0,0.0,0.46471854336739643
COL27A1,105.472664,2.4731245,0.0,0.0,0.4640592581101782
CUX1,104.15154,1.6246336,0.0,0.0,0.6720443660196622
TINAG,102.16117,2.9324954,0.0,0.0,0.40511139981772704
ITGB8,101.66137,1.9408137,0.0,0.0,0.541893699947645
TTC28,100.76739,1.6292857,0.0,0.0,0.6370052936728006
CFI,100.63362,2.8432791,0.0,0.0,0.3957844525023754
GPC6,100.395454,2.0785034,0.0,0.0,0.5016191270287564
PTH1R,98.56071,2.0117602,0.0,0.0,0.48125884702642957
SRRM2,98.01346,1.4895531,0.0,0.0,0.7082662736809447
SPP1,97.04722,2.087882,0.0,0.0,0.4619844486242268
BNC2,95.544846,1.7773163,0.0,0.0,0.5349518140039945
ACSM3,95.271095,3.5416071,0.0,0.0,0.35240736072598944
TNFSF10,95.268585,3.094389,0.0,0.0,0.3620057784413721
UGT2B7,94.90925,1.7565883,0.0,0.0,0.5535863178918384
L3MBTL4,93.79979,1.8147173,0.0,0.0,0.5130596653157783
AC245060.5,93.70295,2.107085,0.0,0.0,0.4588237575381513
CCDC198,93.50849,1.5543208,0.0,0.0,0.6122045335556805
TNIK,93.04706,2.5881233,0.0,0.0,0.3848286827868376
AL589669.1,92.39102,2.656515,0.0,0.0,0.38027185821488824
EPS8L2,89.76259,1.9215838,0.0,0.0,0.4493804657656435
INSR,88.510925,1.4742739,0.0,0.0,0.5995617692113785
SLC13A1,88.26594,3.3064594,0.0,0.0,0.3313490139807256
PTH2R,87.26031,0.847725,0.0,0.0,0.8583118419266642
PAPLN,86.755806,3.0523071,0.0,0.0,0.3259777782086832
ABCC3,86.48988,3.2729003,0.0,0.0,0.3204901979794846
AC083837.1,85.8851,3.131708,0.0,0.0,0.32130460917957765
RHOBTB1,85.21606,2.755606,0.0,0.0,0.3393767815245002
LINC00278,85.09234,13.447354,0.0,0.0,0.27437901145992905
ENPEP,84.933334,2.5898902,0.0,0.0,0.3460278063252603
GOLGA8B,84.91039,1.6245105,0.0,0.0,0.47040003102518857
AC003044.1,84.394516,3.279317,0.0,0.0,0.3157200752360823
CREB5,83.62431,2.578672,0.0,0.0,0.3426344263248725
IGF2BP2,83.043,2.012785,0.0,0.0,0.3789532877004518
CMIP,82.83046,1.7341768,0.0,0.0,0.43287894359232904
TTTY14,82.42837,6.300235,0.0,0.0,0.2702875647166043
UBE2E2,82.27775,1.3820356,0.0,0.0,0.5798413837234104
TNFAIP2,82.14622,3.5876148,0.0,0.0,0.2954567489480522
PDZK1,82.094406,1.9919878,0.0,0.0,0.3921777743305346
BCL2,81.60516,1.5363276,0.0,0.0,0.4948905392565589
DGKH,81.5462,1.6683648,0.0,0.0,0.44447460782222564
PRICKLE1,81.492966,3.1776934,0.0,0.0,0.3062573927207151
UBE2D2,81.29839,1.4586726,0.0,0.0,0.5147854414302612
SLC2A9,81.1384,2.0148206,0.0,0.0,0.38649628667274244
ALPK2,81.10892,3.1748173,0.0,0.0,0.30383354986329525
COL18A1,80.69674,1.5536788,0.0,0.0,0.46440829148164664
HNF1A-AS1,80.66339,1.5067157,0.0,0.0,0.49081848325609356
MACF1,80.19433,1.1553767,0.0,0.0,0.7775687886602936
ACSM2B,79.35269,1.7565616,0.0,0.0,0.4038316107890093
PAPPA,79.275116,2.972691,0.0,0.0,0.3011576273487037
LINC02532,79.26919,1.3575675,0.0,0.0,0.5544201198347909
TPM1,79.22693,1.4303882,0.0,0.0,0.5200597234880068
PARD3,79.106285,0.9999707,0.0,0.0,0.7604079812297609
IGFBP7,78.84907,1.2858613,0.0,0.0,0.6019468305830796
SLC1A1,77.92525,1.9410079,0.0,0.0,0.36402241569874544
SLC17A3,77.85582,4.5819116,0.0,0.0,0.2652847530588897
SYNE2,77.27795,0.8678508,0.0,0.0,0.8785169959861162
ANPEP,77.17005,3.0781095,0.0,0.0,0.2883791278043862
AL008633.1,77.07808,2.151439,0.0,0.0,0.3427119892963099
RASSF4,76.84578,1.7227931,0.0,0.0,0.3897539314731147
SAMD5,76.7562,1.9637846,0.0,0.0,0.3628395803843245
AC079352.1,76.730995,1.5284595,0.0,0.0,0.47503441856857537
SLC3A1,76.14309,1.7246933,0.0,0.0,0.38870683135870937
AC009120.2,75.899734,1.4379334,0.0,0.0,0.4385022590215431
GDA,75.25684,4.415341,0.0,0.0,0.257198813286537
UGCG,75.11666,1.9226621,0.0,0.0,0.34998351786856957
GLYAT,74.946365,2.416871,0.0,0.0,0.30895270597816604
EFCAB13,74.92005,1.8998666,0.0,0.0,0.35533536289775264
CCNL2,74.90718,1.5396245,0.0,0.0,0.4027651199317446
DPYS,74.68373,3.3291843,0.0,0.0,0.2722654204882589
KCNIP4,74.38318,1.0912898,0.0,0.0,0.7155959744817824
RSRP1,73.95904,1.4098113,0.0,0.0,0.42843846347753584
ATP11A,73.55488,1.5757926,0.0,0.0,0.3959007969595315
AHNAK,73.38888,1.5834715,0.0,0.0,0.4087374687324271
BHMT2,73.135445,1.6599588,0.0,0.0,0.3759671133001105
PLCB4,72.822876,2.1500416,0.0,0.0,0.3243877372942157
TNS1,72.812164,1.3624732,0.0,0.0,0.47243605902542124
TMEM178B,72.80636,1.8279556,0.0,0.0,0.36194760621279404
PRRC2B,71.797104,1.2920583,0.0,0.0,0.45256054759457837
CNKSR3,71.60757,1.3099416,0.0,0.0,0.4758100482829497
STX3,71.598076,2.4068422,0.0,0.0,0.2883791278043862
BICD1,71.15914,1.3495126,0.0,0.0,0.45568245719493516
MICAL3,70.89239,1.3058006,0.0,0.0,0.4603362354811813
PLEKHA5,70.83398,0.9696023,0.0,0.0,0.7387873029415757
KANSL1L,70.80552,1.1109815,0.0,0.0,0.6206782881852204
DNM1,70.7349,2.586245,0.0,0.0,0.2797114657462527
AC007364.1,70.666466,1.9339346,0.0,0.0,0.323806015008435
BICC1,70.31003,0.67218965,0.0,0.0,0.8516802078687634
ZEB2,70.30888,2.6477742,0.0,0.0,0.2754261115743344
C12orf75,69.83902,2.377279,0.0,0.0,0.2834732698609684
ACMSD,69.50932,2.6412542,0.0,0.0,0.2725175001454306
UTY,69.443344,11.620227,0.0,0.0,0.22396308002559578
MIA2,68.904724,1.2014041,0.0,0.0,0.47815632816893217
PRUNE2,68.87055,1.6182784,0.0,0.0,0.36768726609916424
PRKRIP1,68.866234,1.3821653,0.0,0.0,0.39706424153109304
CNTNAP3B,68.52419,2.185026,0.0,0.0,0.2916367726047585
SLC47A1,68.38004,2.783316,0.0,0.0,0.26286091020146984
FGF13,68.3219,1.9139417,0.0,0.0,0.3241162668941847
ANXA4,68.28979,1.3146101,0.0,0.0,0.42758527079172404
SLC47A2,68.28511,3.5818355,0.0,0.0,0.24339260437067345
CCDC57,67.83791,1.4836795,0.0,0.0,0.36175369878420044
