names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SOD2,254.49077,1.7643778,0.0,0.0,0.3955342294371634
ITGB1,221.98479,1.0851746,0.0,0.0,0.4361646806930819
MSN,208.46971,1.1866202,0.0,0.0,0.3722371827146555
HMGB1,195.18149,0.87785155,0.0,0.0,0.4140239995117709
MGP,191.03287,2.4063497,0.0,0.0,0.2507418793768976
CD74,187.15195,2.198081,0.0,0.0,0.24420291513459358
LUM,181.57237,3.2881095,0.0,0.0,0.21354873899577376
C7,157.07744,1.9168941,0.0,0.0,0.22110929720437983
PIGR,151.70906,1.3379259,0.0,0.0,0.2710682300169355
ZEB2,151.65706,1.1154917,0.0,0.0,0.26612999608399573
TNFSF10,147.48398,1.6560093,0.0,0.0,0.21399310376394123
NRP1,141.52654,0.73548436,0.0,0.0,0.30525125998708225
TNC,137.88432,2.2071702,0.0,0.0,0.17578472656627456
TIMP1,136.33524,4.275959,0.0,0.0,0.14917115481439666
TKT,133.28424,1.357027,0.0,0.0,0.20544083019290135
CLU,132.86673,1.4462572,0.0,0.0,0.2124890021309166
STAT1,128.93748,0.7918352,0.0,0.0,0.25822170178356196
NNMT,125.75884,2.147005,0.0,0.0,0.16160510402839867
MMP7,119.184555,2.856043,0.0,0.0,0.14168815383285274
VCAN,117.68025,2.7883356,0.0,0.0,0.13775117098698564
IGFBP5,115.48913,0.927871,0.0,0.0,0.2419391341053456
HIF1A,115.179306,0.5081079,0.0,0.0,0.3069842190114378
VIM,111.04002,2.531263,0.0,0.0,0.13417018852763327
IL6ST,110.08042,0.30895892,0.0,0.0,0.3389282608363975
LYZ,109.5167,3.6037004,0.0,0.0,0.12353849127036196
TGFBI,109.059235,2.115952,0.0,0.0,0.13760559225750016
C3,105.234955,3.1969347,0.0,0.0,0.12220603268083548
CD163,104.86541,2.504874,0.0,0.0,0.12825803925158547
S100A6,102.50143,0.78857625,0.0,0.0,0.20644907414470906
VCAM1,100.85972,1.015079,0.0,0.0,0.16629795198063357
LAPTM5,100.710976,3.410903,0.0,0.0,0.11429455980552207
TGFB1,99.7091,1.5603551,0.0,0.0,0.13935762273113325
AHR,94.46697,1.4308448,0.0,0.0,0.13213590060469207
CD44,93.755936,1.1677476,0.0,0.0,0.14332194132096487
MMP14,92.432495,0.9924155,0.0,0.0,0.15235672255872734
