names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CDH6,18.819456,4.9710336,5.2318495930825844e-79,1.7371833388871414e-74,0.7791095890410958
IGFBP7,15.547451,2.8753455,1.655658397325398e-54,1.8324827141597505e-50,0.8107876712328768
NRG3,15.456943,3.0543132,6.773825428938394e-54,5.622952488561761e-50,0.8090753424657534
MT-ATP6,12.504777,2.4398522,7.029680474858661e-36,2.5934834498578555e-32,0.9203767123287672
MT-CO2,12.378598,2.4206853,3.412523687119609e-35,1.133094365071195e-31,0.9336472602739726
ACSM3,12.3147545,3.2229757,7.544478691623578e-35,2.277335186151539e-31,0.6113013698630136
MT-CO1,12.086221,2.2313168,1.2490105285644588e-33,3.4560121325378574e-30,0.971318493150685
RHEX,11.951168,2.3556132,6.401886277269612e-33,1.6351402457727707e-29,0.7397260273972602
BNC2,11.869045,2.3367631,1.714122893038323e-32,3.794382436029632e-29,0.6990582191780822
MT-CYB,11.736433,2.1726928,8.290995213089914e-32,1.7205887815964844e-28,0.8403253424657534
MT-CO3,11.522496,2.2201138,1.0162325536695778e-30,1.9848815124732156e-27,0.9439212328767124
MAML2,11.359005,1.9012275,6.690233238372017e-30,1.1691710760363393e-26,0.7628424657534246
MT-ND1,11.203189,2.1006868,3.9331627317122545e-29,6.529836767188685e-26,0.742722602739726
NEAT1,11.1135235,1.4468404,1.0781938459901545e-28,1.7047784982027188e-25,0.913527397260274
DCDC2,10.9265175,1.7673384,8.608916022957465e-28,1.2428280331577377e-24,0.7919520547945206
CASC15,10.565594,2.169929,4.3023719833616403e-26,5.494459974443843e-23,0.6305650684931506
VCAN,10.498112,2.8395162,8.812511127522569e-26,1.0837430351046643e-22,0.5196917808219178
ABCC3,10.474198,2.3545177,1.1349525453307725e-25,1.3458915826843918e-22,0.5809075342465754
FAM155A,10.397444,2.5169742,2.546737313699863e-25,2.915926405658284e-22,0.5646404109589042
TNFSF10,10.369138,4.1155972,3.4260235716046323e-25,3.7919228890520072e-22,0.432791095890411
GLS,10.2871475,1.8162614,8.052631689715748e-25,8.625147826623281e-22,0.7384417808219178
EFNA5,10.088385,2.2398415,6.218434322115324e-24,6.452402913484913e-21,0.6108732876712328
OXR1,10.017841,1.7244172,1.272516276232817e-23,1.2803827404858925e-20,0.7371575342465754
THRB,9.981151,2.1725433,1.8431763934943754e-23,1.8000243814584482e-20,0.5886130136986302
PRICKLE1,9.96154,3.2842433,2.2455681657973193e-23,2.130338439346691e-20,0.4541952054794521
ARHGAP29,9.922542,1.7297499,3.321874411697999e-23,2.981068053135685e-20,0.7440068493150684
SLC25A37,9.913003,2.3136287,3.654928709719584e-23,3.177390910703016e-20,0.550513698630137
MT-ND4,9.910917,1.7394235,3.73202763273755e-23,3.177390910703016e-20,0.8120719178082192
FIGN,9.8894,3.1357737,4.6279473900629416e-23,3.841659128491247e-20,0.4529109589041096
SLIT3,9.712509,1.9435818,2.666892065177012e-22,2.159792295905793e-19,0.6528253424657534
LINC00278,9.603989,30.107096,7.69095737937125e-22,5.938849972666116e-19,0.367722602739726
GPC6,9.542096,2.2438362,1.3997349658799082e-21,1.0562909047062835e-18,0.545804794520548
C3,9.504872,4.213369,2.0029264890918805e-21,1.4778926920845954e-18,0.3972602739726027
NR2F2,9.293465,2.7837715,1.4934538733134172e-20,1.015394682899184e-17,0.4452054794520548
FOXP1,9.225362,1.7574115,2.826044623247007e-20,1.8767197134058723e-17,0.634845890410959
ST6GAL1,9.195281,2.5764034,3.7401433759507827e-20,2.435053346177839e-17,0.4678938356164384
FN1,9.167863,6.6795163,4.824898696954987e-20,3.080883391032565e-17,0.355736301369863
NOX4,9.062137,2.2230594,1.2791974995995235e-19,7.865643291981959e-17,0.5175513698630136
NID2,9.051755,3.2473063,1.4068884164144838e-19,8.493513268841185e-17,0.4113869863013699
USP9Y,9.044967,29.785841,1.4971071968525238e-19,8.876776315052e-17,0.3463184931506849
AOPEP,8.982898,1.5600998,2.637278764406786e-19,1.5097966222993608e-16,0.6917808219178082
TBL1XR1,8.968212,1.8163753,3.0136594884799953e-19,1.696026265347284e-16,0.6142979452054794
PLXDC2,8.865015,1.5416998,7.649370842330096e-19,4.233161824145475e-16,0.7328767123287672
TSHZ2,8.776947,1.7314069,1.6797205753692795e-18,9.143187210583861e-16,0.6502568493150684
HRH1,8.754009,1.9476526,2.059039191326774e-18,1.1027151178841001e-15,0.5535102739726028
EXT1,8.74487,1.6321874,2.2327285171541983e-18,1.1767542489458413e-15,0.6494006849315068
WT1,8.701701,3.0682797,3.2694614225969e-18,1.6962374543110542e-15,0.4028253424657534
UTY,8.687193,29.729319,3.715045484386859e-18,1.8977595425166347e-15,0.3326198630136986
SRGAP1,8.656891,1.7669578,4.848079036813491e-18,2.4390244899750782e-15,0.601027397260274
CTSC,8.583464,3.6014447,9.205851876318175e-18,4.430016024656068e-15,0.3664383561643836
TENM4,8.568556,2.8066256,1.0479048516386562e-17,4.97066181340142e-15,0.410958904109589
PBX1,8.560615,1.8828378,1.1226739731247443e-17,5.2503192399484525e-15,0.5342465753424658
RSRP1,8.500941,1.9507546,1.8805946258431078e-17,8.672675549513133e-15,0.4991438356164384
ZFPM2,8.4871435,2.0381553,2.117786931922555e-17,9.632739354459796e-15,0.5089897260273972
MT-ND6,8.483683,2.103095,2.181763632978292e-17,9.789632387758272e-15,0.4970034246575342
MSC-AS1,8.408569,2.105378,4.1504089008316e-17,1.823607385742058e-14,0.480736301369863
SPP1,8.407905,2.6324496,4.174020037236369e-17,1.823607385742058e-14,0.4071061643835616
PSD3,8.400406,2.1866949,4.449369413314692e-17,1.918660545450663e-14,0.473458904109589
TNS1,8.389536,1.6467291,4.880633269456593e-17,2.0776480394748298e-14,0.6185787671232876
