names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SOD2,45.883694,1.668608,0.0,0.0,0.498330160117357
MMP7,44.963333,2.7668798,0.0,0.0,0.37766472112113364
CDH6,43.02083,2.1435645,0.0,0.0,0.39342676113486685
ITGB1,42.574253,1.4713285,0.0,0.0,0.47997752738849525
C3,41.738075,2.653726,0.0,0.0,0.3572833109647617
VIM,39.254326,2.4565015,0.0,0.0,0.33512281906426544
TNFSF10,37.260384,2.1043007,7.1947413803253254e-304,4.933536946508795e-302,0.34236399388245575
MSN,35.816776,1.3373038,6.054210157787776e-281,3.632526094672666e-279,0.39926339773401165
S100A6,34.385853,1.7859374,4.103316123003487e-259,2.1884352656018596e-257,0.3298167857923156
VCAN,33.721905,2.4452608,2.7606824822050676e-249,1.3251275914584325e-247,0.28087643184868444
NNMT,32.78955,2.8120089,8.297143452598593e-236,3.6205716884066586e-234,0.26330409813040356
TIMP1,32.678375,3.5097504,3.168778080377164e-234,1.2675112321508654e-232,0.250569618277724
HMGB1,31.637276,0.78026307,1.1347422695664566e-219,4.1898176107069165e-218,0.48309872343081867
MGP,28.59992,1.8283118,6.733922624648454e-180,2.0201767873945362e-178,0.27769281188551453
CLDN1,28.391163,0.7896748,2.5997399721134045e-177,7.340442274202555e-176,0.43896501139236555
HIF1A,28.323883,0.9270121,1.7559951368524533e-176,4.682653698273209e-175,0.36577296419988137
PLOD2,26.589527,1.0775483,8.971797778456331e-156,2.2665594387679154e-154,0.2889915415587253
TNC,26.037695,0.90618026,1.854489520455579e-149,4.45077484909339e-148,0.3444864071912357
ABCC3,25.201351,1.0470145,3.8713055211566586e-140,8.848698334072363e-139,0.26898467492743217
VCAM1,24.978285,0.5314425,1.0527572027369792e-137,2.2040863787163164e-136,0.550578981865851
TKT,24.978157,1.7158862,1.0561247231349016e-137,2.2040863787163164e-136,0.2258185336620993
TACSTD2,23.262665,1.4088247,1.0590533751222681e-119,2.118106750244536e-118,0.24810387340428852
NRP1,22.788397,0.61819077,5.97644176406446e-115,1.1474768187003763e-113,0.3370267486500827
MMP14,22.75172,1.4572085,1.3797980908106551e-114,2.5473195522658247e-113,0.21573707044539467
CLU,22.623718,1.1915731,2.532147401605985e-113,4.501595380632862e-112,0.2611504728612004
CDH2,21.014145,1.0163442,4.8693479176201176e-98,8.347453573063059e-97,0.2228846093823153
ATF4,20.43542,0.34563634,8.099582006017626e-93,1.29593312096282e-91,0.37594806329785574
STAT1,20.21729,0.3685343,6.896889299483524e-91,1.0679054399200293e-89,0.4162739161646743
DPYSL3,20.111082,0.95536643,5.902248730786928e-90,8.853373096180393e-89,0.25918411935453667
AHR,19.627413,1.0885301,9.019294387624994e-86,1.3118973654727263e-84,0.20493773213895564
STMN1,19.427164,1.8981761,4.548022347518331e-84,6.420737431790585e-83,0.16514248259933206
AQP1,17.29012,1.0079746,5.5836869956447894e-67,7.444915994193053e-66,0.2060925746746153
FN1,17.079441,4.939799,2.111334938212502e-65,2.739029109032435e-64,0.12300633602796592
COL1A1,16.650545,2.2015648,2.9985497736730177e-62,3.787641819376444e-61,0.13858110427915976
TGFB1,16.551685,1.6766939,1.5568300314443974e-61,1.916098500239258e-60,0.14529167577015512
PLEC,16.47345,0.40709788,5.6929411963803176e-61,6.831529435656381e-60,0.23742938293954244
NPNT,16.072763,1.3067447,3.960354636444495e-58,4.526119584507995e-57,0.1599612971690752
TGFBI,16.02002,2.9298527,9.262217591575352e-58,1.033921963710737e-56,0.12238209681950123
PIGR,16.013042,0.7349487,1.0361572137641194e-57,1.130353324106312e-56,0.2567495864415244
ITGA11,15.944624,1.0682743,3.105045135913399e-57,3.312048144974292e-56,0.1593370579606105
SLPI,14.716103,1.8738313,5.081100345219159e-49,5.3020177515330356e-48,0.13471082118667874
IL1R1,14.656379,0.17388004,1.226418434636468e-48,1.2525124438840524e-47,0.3448609507163145
STAT3,14.459952,0.1453236,2.1694676518974438e-47,2.1694676518974436e-46,0.286151253160211
IL6ST,14.351481,0.079179995,1.0428494150265344e-46,1.021566773903544e-45,0.3549424139330191
IL18,14.33979,1.083941,1.234272739612671e-46,1.1849018300281641e-45,0.1438247136302631
TAGLN,14.159982,0.68962395,1.6203678544673372e-45,1.5250520983221999e-44,0.17884453322513186
TGFBR1,14.058366,1.1399565,6.844841064572013e-45,6.318314828835705e-44,0.13564717999937576
EIF2AK1,13.937608,0.45634624,3.7427664130212686e-44,3.3896752419815266e-43,0.18564874059739692
VASP,13.902015,0.87342566,6.158327416153231e-44,5.4740688143584275e-43,0.1472892412372421
EIF2AK2,13.680741,0.71144986,1.3233745271553439e-42,1.1549450418810274e-41,0.1574955522956397
CRK,13.652004,0.47753477,1.9640154420078436e-42,1.6834418074352945e-41,0.17191547801117388
IL32,13.495901,1.1388843,1.6532081325704676e-41,1.3921752695330254e-40,0.13967352289397297
FABP5,13.472515,0.95161146,2.2700072282877484e-41,1.8786266716864124e-40,0.13711414213926776
ICAM1,13.470971,1.1164932,2.317974597841476e-41,1.8858098423117096e-40,0.13708293017884454
ZEB2,13.432768,0.37092167,3.8860807366186834e-41,3.1088645892949467e-40,0.19538687224944598
LTBP2,13.3873205,1.8697671,7.172140407706621e-41,5.6436514683593085e-40,0.11158275851306221
C4A,13.3445425,0.21974857,1.27450727501892e-40,9.86715309692067e-40,0.32307500234089703
F11R,13.087297,0.97324204,3.892119434238791e-39,2.965424330848602e-38,0.13817534879365773
CD99,13.019543,0.9092613,9.473646235863372e-39,7.105234676897529e-38,0.13839383251662038
CXCL1,12.713068,0.639801,5.0031974020597455e-37,3.694668850751812e-36,0.15484253565966477
SIRPA,12.214199,0.49295253,2.6106081498647906e-34,1.898624108992575e-33,0.1607103842192328
OLFML2B,12.178507,1.396391,4.046206483014614e-34,2.8987747938015145e-33,0.11579637317019882
RUNX1,12.044482,1.4566352,2.073735448711276e-33,1.463813257913842e-32,0.1088361059958176
TGFBR2,11.786068,0.061553266,4.60543108248346e-32,3.2037781443363204e-31,0.21945129373575956
CD74,11.613413,2.0304546,3.522703960823313e-31,2.3815463397115354e-30,0.0988794906208059
COL8A1,11.434556,1.036861,2.8096981251090234e-30,1.8731320834060158e-29,0.1113954867505228
NMI,11.163014,0.78262156,6.185796719554888e-29,4.067373185460749e-28,0.11848060176659696
EIF2S1,11.081564,0.7536105,1.5415680901217904e-28,9.999360584573774e-28,0.12075907487749306
ATF6,10.729844,0.2709428,7.372075091410692e-27,4.718128058502843e-26,0.14906832298136646
PDGFB,10.631617,1.1186312,2.1239921404780426e-26,1.3414687203019218e-25,0.10218795842566872
SEMA5A,10.595754,0.6090147,3.118184620166644e-26,1.9438033995844013e-25,0.12394269484066295
IL13RA1,10.5939245,0.5023758,3.1797437056767145e-26,1.9567653573395166e-25,0.13599051156403133
STAT6,10.341358,-0.06531712,4.579976624216665e-25,2.7827706071189864e-24,0.22091825587565156
CD44,10.220526,1.5610163,1.604684856965607e-24,9.628109141793642e-24,0.08586410312431723
CRKL,10.073755,0.3380964,7.216866158054887e-24,4.238510121302385e-23,0.12990417928150066
ITGA2,10.07343,1.199097,7.240788123891575e-24,4.238510121302385e-23,0.09591435438059864
KLF3,10.048045,0.270501,9.370784296058374e-24,5.419248749527734e-23,0.13908049564593153
ACSM3,9.973876,0.54104924,1.983338261736868e-23,1.1333361495639245e-22,0.12419239052404882
LIF,9.721449,0.00599073,2.4428077178444344e-22,1.3794678877239158e-21,0.13986079465651238
CXCL16,9.5841675,1.2422346,9.320668404281044e-22,5.202233527970815e-21,0.08932863073129624
CDKN1A,9.5062275,1.4410546,1.977030400309168e-21,1.0907753932740239e-20,0.08648834233278192
PARP8,9.292793,0.2499026,1.5029139533576948e-20,8.197712472860154e-20,0.12697025500171666
NOX4,9.26481,-0.039865736,1.954248035042833e-20,1.0539764683377076e-19,0.1693873092168919
ITGB8,9.098252,-0.10723416,9.179725244214036e-20,4.89585346358082e-19,0.3624020724741721
NT5E,8.896749,1.0440165,5.750658243655697e-19,3.0333142384117965e-18,0.08892287524579419
CDK4,8.836949,0.8446417,9.836800344126495e-19,5.1322436578051274e-18,0.09232497893192672
PRICKLE1,8.76734,0.62766385,1.829369690199656e-18,9.441908078449836e-18,0.1018134149005899
JAG1,8.702721,-0.042387504,3.240194886433607e-18,1.6545676015831183e-17,0.1892069040856456
FAS,8.355813,0.05150861,6.498371833730141e-17,3.2491859168650703e-16,0.13499172883048785
HAVCR1,8.240687,1.5102564,1.712242631473211e-16,8.4729532279086735e-16,0.07681263460157932
IGFBP5,8.1336155,0.8036111,4.1667145679704295e-16,2.04083978839368e-15,0.11086488342332781
CTHRC1,8.075254,1.5264113,6.733619756970069e-16,3.264785336712761e-15,0.06904085645619401
COL7A1,7.8553767,-0.1006136,3.985717397532944e-15,1.913144350815813e-14,0.1466337900683542
PDGFRB,7.851895,0.05227143,4.097976064116863e-15,1.9475529809664297e-14,0.13302537532382408
PFKP,7.7703424,-0.22022255,7.827424653695821e-15,3.64773187745048e-14,0.21139860794656512
IFNGR1,7.754497,-0.057687186,8.869414492899831e-15,4.093575919799922e-14,0.14863135553544118
CX3CL1,7.578292,0.309699,3.501335903155527e-14,1.6006106985853838e-13,0.10134523549424139
OXR1,7.5403943,-0.22351427,4.6855205166870455e-14,2.1217451396318698e-13,0.2197634133399919
ID3,7.4983416,0.6362472,6.463041101534729e-14,2.8993081576978223e-13,0.08249321139860795
DUSP6,7.486486,0.052208256,7.074199842205496e-14,3.1440888187579983e-13,0.11120821498798339
BCL6,7.4209185,-0.1686475,1.1631102548027503e-13,5.121953415645139e-13,0.14201441992571553
MAF,7.234329,-0.21821205,4.678362331188737e-13,2.041467199064176e-12,0.3404600642966385
KCNJ15,7.1403127,0.006682197,9.311891060534383e-13,4.026763701852706e-12,0.1247229938512438
BNC2,7.067013,-0.32145414,1.583042594900574e-12,6.784468263859603e-12,0.22063734823184245
PODXL,6.7846975,0.7356687,1.1633014680063732e-11,4.941457563212913e-11,0.07921595555416835
PLXDC2,6.77505,-0.33502504,1.2436314309852013e-11,5.236342867306111e-11,0.23945816036705264
LUM,6.6838202,2.4372098,2.327923241437326e-11,9.716549181651448e-11,0.054340023096850716
TNFAIP2,6.5521245,-0.2915568,5.6724154887083416e-11,2.347206409120693e-10,0.27500858328911637
GPX3,6.528071,-0.21361955,6.662222407943637e-11,2.733219449412774e-10,0.2811261275320703
ESAM,6.4829698,0.27960432,8.993465249981546e-11,3.6583587457552056e-10,0.09800555572895533
LYZ,6.39622,2.8431687,1.5927046190499252e-10,6.424354765915664e-10,0.04853459845812916
PPP1R15B,6.36735,-0.3862444,1.9232192942700302e-10,7.692877177080121e-10,0.15178376353818784
RIPK2,6.3559957,0.6263029,2.070809505634338e-10,8.214781509954399e-10,0.06875994881238491
ADAM17,6.296534,-0.065068044,3.043747963875806e-10,1.1975401825085139e-09,0.0966946533911795
SERPINE1,6.2313323,0.8153851,4.6248463553374047e-10,1.8048180898877679e-09,0.05655607228690034
SEMA6A,6.049816,0.071132675,1.4501131745219552e-09,5.613341320730149e-09,0.09672586535160273
OAS3,6.0183725,0.7057677,1.7617912428667393e-09,6.765278372608279e-09,0.06566996473048473
COL6A3,5.7226524,2.0952384,1.0487363216525991e-08,3.9951859872479965e-08,0.04631854926807953
SLC12A2,5.651433,0.55589813,1.591155813237551e-08,6.013817246882082e-08,0.06002059989387933
KLRG2,5.5982046,-0.15325949,2.165830030989636e-08,8.121862616211136e-08,0.1473516651580886
CSF1,5.557562,0.43290317,2.7356885828814907e-08,1.0179306354907873e-07,0.0671057149099535
KIRREL1,5.520517,-0.28178406,3.380037498497154e-08,1.2480138455989492e-07,0.16273916164674304
COL3A1,5.5151467,0.5648795,3.484891662979843e-08,1.2769068688781105e-07,0.07887262398951278
ATF5,5.5137115,0.7697448,3.5134463260494766e-08,1.2776168458361732e-07,0.055682137395049784
CREB5,5.451725,-0.23134972,4.98835273485805e-08,1.8003077539337323e-07,0.09747495240176035
MKI67,5.406834,1.6730869,6.414852609342121e-08,2.2978576511076254e-07,0.04719248415993008
EIF2AK4,5.395686,-0.09132353,6.826217943447022e-08,2.4270997132256077e-07,0.09572708261805923
LSP1,5.3283057,0.111642346,9.913315231874569e-08,3.4988171406616124e-07,0.0722244764193639
ACTA2,5.160491,0.69875705,2.4630314820248705e-07,8.629599353079839e-07,0.05468335466150629
CD163,5.1432853,2.623386,2.6997538427024377e-07,9.390448148530219e-07,0.03935828209369831
DEFB1,5.077439,0.8361642,3.825569828929313e-07,1.3210600848101224e-06,0.060176659695995505
IRF8,5.073895,0.13957849,3.8975426540438795e-07,1.33630033852933e-06,0.07409719404475795
WT1,5.0451293,-0.27579817,4.532148293750496e-07,1.54285899361719e-06,0.18508692530977872
PNP,4.9643292,0.48223782,6.893894732981271e-07,2.3303306139654998e-06,0.05655607228690034
SELENOK,4.944679,0.7326605,7.62695264230486e-07,2.5600959918226103e-06,0.04922126158744031
LAPTM5,4.932393,3.7665646,8.122833215733489e-07,2.707611071911163e-06,0.03676768937856987
IFNGR2,4.8863807,1.0982897,1.0270664639881265e-06,3.39994415665035e-06,0.04728612004119979
IL18BP,4.7008886,-0.30850577,2.590317131936161e-06,8.480541474808059e-06,0.10465370329910421
PTPN6,4.7003493,0.38578716,2.5971658266599685e-06,8.480541474808059e-06,0.05543244171166391
C7,4.660069,1.0364954,3.1610331296218476e-06,1.02519993393141e-05,0.04744217984331596
IL15,4.634849,-0.28615722,3.5719787735662142e-06,1.1507045713501898e-05,0.10090826804831611
CXCL12,4.6035824,0.12628491,4.152850155517575e-06,1.3289120497656238e-05,0.08514622803458285
