,condition,Cell_Type,Percentage
0,Cntrl,ATL,0.1889289735949434
1,Cntrl,B,0.3210993689829936
2,Cntrl,CNT,6.592414698327405
3,Cntrl,DCT,5.446551943672865
4,Cntrl,DTL,0.4250858199294443
5,Cntrl,EC,11.241103122033607
6,Cntrl,FIB,7.87295742427626
7,Cntrl,IC,6.900350977354071
8,Cntrl,MAC,3.81171985892869
9,Cntrl,MAST,0.34999519060463435
10,Cntrl,MC,1.003448075890049
11,Cntrl,MDC,1.4213927127654746
12,Cntrl,Mono,0.49325779127049063
13,Cntrl,N,0.3475950952890725
14,Cntrl,NEU,0.24515713200301123
15,Cntrl,NKC/T,0.4261597800514817
16,Cntrl,PC,3.017842632093338
17,Cntrl,PEC,2.9614428970445923
18,Cntrl,PL,0.37725378805169674
19,Cntrl,PT,25.040987813641095
20,Cntrl,PapE,0.651845551465736
21,Cntrl,T,1.1592204111650521
22,Cntrl,TAL,6.3087977590654205
23,Cntrl,VSM/P,4.357167165184572
24,Cntrl,cDC,0.2893907370653031
25,Cntrl,cycMNP,0.2723861081347802
26,Cntrl,cycNKC/T,0.023570259939337694
27,Cntrl,pDC,0.10817948779533255
28,Cntrl,podocyte,1.0256171951026083
29,SLE,ATL,0.10926308121889036
30,SLE,B,0.6116774791473587
31,SLE,CNT,2.8541851523217985
32,SLE,DCT,2.626005929690809
33,SLE,DTL,0.4477004477004477
34,SLE,EC,12.048192771084338
35,SLE,FIB,13.674637925227348
36,SLE,IC,3.4426761935693406
37,SLE,MAC,7.088706019568456
38,SLE,MAST,0.20100502512562815
39,SLE,MC,0.4344677769732078
40,SLE,MDC,2.719436688114605
41,SLE,Mono,1.3477612907406207
42,SLE,N,0.7282967566517771
43,SLE,NEU,0.1400070003500175
44,SLE,NKC/T,1.3020651032551627
45,SLE,PC,1.7085427135678393
46,SLE,PEC,2.374536881104749
47,SLE,PL,1.4457831325301205
48,SLE,PT,29.409979361417992
49,SLE,PapE,0.24096385542168677
50,SLE,T,2.55653883972468
51,SLE,TAL,3.7185929648241203
52,SLE,VSM/P,3.1498913830557562
53,SLE,cDC,0.39285012767629146
54,SLE,cycMNP,0.5725833614011452
55,SLE,cycNKC/T,0.0814000814000814
56,SLE,pDC,0.07284205414592691
57,SLE,podocyte,0.9035552936554704
58,ANCA,ATL,0.14684287812041116
59,ANCA,B,1.4674647615369762
60,ANCA,CNT,2.9017857142857144
61,ANCA,DCT,1.143552311435523
62,ANCA,DTL,0.5653589172520129
63,ANCA,EC,8.592392353736242
64,ANCA,FIB,20.09626955475331
65,ANCA,IC,2.368603042876902
66,ANCA,MAC,9.10377358490566
67,ANCA,MAST,0.3952569169960474
68,ANCA,MC,0.5415162454873645
69,ANCA,MDC,5.350968188105117
70,ANCA,Mono,1.865222623345367
71,ANCA,N,0.9433962264150944
72,ANCA,NEU,0.09812167087188113
73,ANCA,NKC/T,1.4297729184188395
74,ANCA,PC,1.2305889246996777
75,ANCA,PEC,2.209638019098379
76,ANCA,PL,1.8669075579644687
77,ANCA,PT,18.544995794785535
78,ANCA,PapE,0.5440817232955807
79,ANCA,T,4.481132075471698
80,ANCA,TAL,2.3813602878190854
81,ANCA,VSM/P,3.4006061950173727
82,ANCA,cDC,0.513800932010993
83,ANCA,cycMNP,1.0135730653974968
84,ANCA,cycNKC/T,0.12021857923497267
85,ANCA,pDC,0.12219959266802445
86,ANCA,podocyte,0.6720977596741344
87,GBM,ATL,0.2975168783613686
88,GBM,B,2.2388314392000273
89,GBM,CNT,3.1898204636569636
90,GBM,DCT,1.046176046176046
91,GBM,DTL,0.772399588053553
92,GBM,EC,7.8222586259854605
93,GBM,FIB,13.228058130220848
94,GBM,IC,2.272727272727273
95,GBM,MAC,11.847988077496275
96,GBM,MAST,0.24231254905975907
97,GBM,MC,0.26890948621123695
98,GBM,MDC,4.927347242921013
99,GBM,Mono,2.143977688687467
100,GBM,N,1.2987012987012987
101,GBM,NEU,0.10822510822510822
102,GBM,NKC/T,1.9658032149073408
103,GBM,PC,1.6559177270350358
104,GBM,PEC,1.641582198559776
105,GBM,PL,3.5937340022524826
106,GBM,PT,15.064332275348965
107,GBM,PapE,0.836674219975597
108,GBM,T,7.467532467532467
109,GBM,TAL,2.13301043219076
110,GBM,VSM/P,3.455663189269747
111,GBM,cDC,0.3260059612518629
112,GBM,cycMNP,0.9840942899645269
113,GBM,cycNKC/T,0.1676602086438152
114,GBM,pDC,0.0838301043219076
115,GBM,podocyte,0.6240685543964233
