,condition,Cell_Type,Percentage
0,Cntrl,ATL,0.29139300034371834
1,Cntrl,B,0.6311516289344593
2,Cntrl,CNT,5.107608409188932
3,Cntrl,DCT,5.543618227748047
4,Cntrl,DTL,0.5881367236442918
5,Cntrl,EC,10.727278449363453
6,Cntrl,FIB,8.066882098010765
7,Cntrl,IC,5.778570980243925
8,Cntrl,MAC,3.2532008287760084
9,Cntrl,MAST,0.4852832289313328
10,Cntrl,MC,0.45531654462548776
11,Cntrl,MDC,1.205624247084398
12,Cntrl,Mono,0.5137459669160613
13,Cntrl,N,0.4510252257908902
14,Cntrl,NEU,0.21435906976798708
15,Cntrl,NKC/T,0.4588774115331343
16,Cntrl,PC,4.409074164086856
17,Cntrl,PEC,1.3488388040017707
18,Cntrl,PL,0.5829655525265559
19,Cntrl,PT,21.14101410278146
20,Cntrl,PapE,0.6278783453679342
21,Cntrl,T,1.1280419293934925
22,Cntrl,TAL,17.902524856669544
23,Cntrl,VSM/P,4.110783073139674
24,Cntrl,cDC,0.3707420957745824
25,Cntrl,cycMNP,0.31894398888606246
26,Cntrl,cycNKC/T,0.03505663731938931
27,Cntrl,pDC,0.12590272174173922
28,Cntrl,podocyte,1.100836785070746
29,SLE,ATL,0.1957700824801823
30,SLE,B,0.613578764839269
31,SLE,CNT,2.1566802528964346
32,SLE,DCT,1.8729435585927614
33,SLE,DTL,0.985332493476109
34,SLE,EC,11.756002318557615
35,SLE,FIB,14.556410628720778
36,SLE,IC,2.794952453266804
37,SLE,MAC,6.504449914788865
38,SLE,MAST,0.24368761009982387
39,SLE,MC,0.32186244615459075
40,SLE,MDC,1.9607843137254901
41,SLE,Mono,1.045336413514294
42,SLE,N,0.7017028772753964
43,SLE,NEU,0.15832419924491536
44,SLE,NKC/T,1.2909511630739252
45,SLE,PC,2.7334116265413972
46,SLE,PEC,1.0799597303151407
47,SLE,PL,1.3781644023067148
48,SLE,PT,29.013317735984884
49,SLE,PapE,0.4183339396144053
50,SLE,T,2.284999542389945
51,SLE,TAL,7.5547995763663796
52,SLE,VSM/P,3.2978431312730714
53,SLE,cDC,0.4071807792675245
54,SLE,cycMNP,0.5255558764077389
55,SLE,cycNKC/T,0.0944138473642801
56,SLE,pDC,0.10936567906144362
57,SLE,podocyte,0.5967604433077579
58,ANCA,ATL,0.37269100719360704
59,ANCA,B,0.7736956219600979
60,ANCA,CNT,2.0601216131126776
61,ANCA,DCT,0.8898481547647792
62,ANCA,DTL,1.2789609628012863
63,ANCA,EC,9.697383670192739
64,ANCA,FIB,18.232372452035
65,ANCA,IC,2.450406908914121
66,ANCA,MAC,9.071659750106521
67,ANCA,MAST,0.4984719548917156
68,ANCA,MC,0.3573949502647129
69,ANCA,MDC,4.092488266735245
70,ANCA,Mono,1.4569404402641317
71,ANCA,N,1.133636792644366
72,ANCA,NEU,0.13653859436856328
73,ANCA,NKC/T,1.485123417053844
74,ANCA,PC,3.136598287641413
75,ANCA,PEC,1.281305342406743
76,ANCA,PL,1.535207433989994
77,ANCA,PT,18.349595870911777
78,ANCA,PapE,0.6094111302085592
79,ANCA,T,3.8189690407071297
80,ANCA,TAL,7.22931175394168
81,ANCA,VSM/P,3.401510076089596
82,ANCA,cDC,0.4397073791168793
83,ANCA,cycMNP,0.8788877868296527
84,ANCA,cycNKC/T,0.12763241248668666
85,ANCA,pDC,0.12183639361781408
86,ANCA,podocyte,0.6275186305920714
87,GBM,ATL,0.4466568120576979
88,GBM,B,1.217318095709515
89,GBM,CNT,2.1438602726556115
90,GBM,DCT,0.4761275946012882
91,GBM,DTL,1.1372167911208426
92,GBM,EC,7.599523724029222
93,GBM,FIB,14.004271711224838
94,GBM,IC,2.385200425296258
95,GBM,MAC,9.422801207800667
96,GBM,MAST,0.2168129437908177
97,GBM,MC,0.28103020875387497
98,GBM,MDC,4.385259667065842
99,GBM,Mono,2.6746951735569535
100,GBM,N,1.987020181520077
101,GBM,NEU,0.10466086412698074
102,GBM,NKC/T,1.5464983405686756
103,GBM,PC,1.9079866309478986
104,GBM,PEC,1.7144682420067638
105,GBM,PL,2.5002331946721394
106,GBM,PT,16.8116011497135
107,GBM,PapE,0.7069512870227437
108,GBM,T,4.397690491208978
109,GBM,TAL,3.4085558098896076
110,GBM,VSM/P,2.8336479441997655
111,GBM,cDC,0.3226869908114318
112,GBM,cycMNP,1.1318516448702582
113,GBM,cycNKC/T,0.1585155575153515
114,GBM,pDC,0.05667319549863241
115,GBM,podocyte,0.6468723583478104
